Date,Tweet,Sentiment
2023-05-17 23:16:06+00:00,"Rekrutmen berdasarkan identitas bukan kualitas bisa merusak tatanan sistem operasi perbankan di Indonesia.

Cc : @jokowi @DPR_RI @mprgoid @DPDRI @bank_indonesia @Kiyai_MarufAmin @KemenBUMN @bankbsi_id",0
2023-05-17 21:54:33+00:00,"BSI (BRIS) terancam sanksi UU Perlindungan Data Pribadi (PDP) yang telah disahkan pada September 2022 karena kasus tersebarnya data nasabah milik PT Bank Syariah Indonesia Tbk. Sanksi bisa berupa peringatan tertulis, penghentian sementara kegiatan pemrosesan data pribadi,",0
2023-05-17 21:10:00+00:00,"@bankbsi_id Alhamdulillah rekening saya sudah aman, karena saldo sudah saya pindahkan ke bank sebelah tepatnya tgl 12 Mei kemarin, malah saldonya sampai nol rupiah min.",1
2023-05-17 21:10:00+00:01,"@bankbsi_id gila sampe hari ini pun tetep begini nih?
Mau top up aja sulit banget, menghilangkan kepercayaan nasabah https://t.co/g3v51gdBP6",0
2023-05-17 19:40:46+00:00,"@sayit_uwu @joodieth @F2aldi @bankbsi_id Balik lagi ke bsi karena transaksi gagal. Waktu itu cuma 12 jam kak langsung baliknya. Coba lapor ke bsi nya aja kak, kmren aku lgsg tarik tunai krn transaksi via mbanking gbsa trs atm jg gbsa.",1
2023-05-17 19:08:19+00:00,"@LauraKimSJ @nmonarizqa Saya pun ada dugaan ke ara sana meski ini masih sebatas dugaan yang belum berbasis data. Secara, nasabah BSI ini peningkatannya pesat banget,, gak nutup kemungkinan ada bank lain yang merasa tersaingi. Entahlah.",0
2023-05-17 18:01:44+00:00,"Kini giliran Bank Syariah Indonesia (BSI) yang terkena Serangan Siber. Era digital emang makin canggih namun, BSI terus menerus meningkatkan keamanan data para Nasabah dan menjamin dana tetap aman. jadi, jangan panik para nasabah BSI https://t.co/3RSbGAH0S1",1
2023-05-17 17:22:30+00:00,"Gw yakin bank BSI udah nerapin sistem keamanan berlapis, cm karna Indo hanya sbg konsumen sistem IT ya masih rentan kena serangan hacker. Dan infonya sekarang sistem IT udah normal kembali, jadi buat nasabah BSI jgn khawatir berlebih yaa https://t.co/lnRiPPKRnM",1
2023-05-17 16:43:31+00:00,"@bankbsi_id Makasih tipsnya, tapi ga pake bsi lagi wkkwkw",0
2023-05-17 16:27:57+00:00,@secgron @bankbsi_id negonya jelek banget.. bahasa inggris BSI jelek asli,0
2023-05-17 16:25:51+00:00,@HukumDan @berlianidris @Paltiwest @bankbsi_id Parah ini asli parah....,0
2023-05-17 15:32:40+00:00,@secgron @bankbsi_id Karena ada karyawan @bankbsi_id yang suka klik link judi atau link bokep jadi mudah dibobol tuh sistem bsi nya.,0
2023-05-17 15:18:02+00:00,"@bankbsi_id Gak salah nih, BSI aja kena serangan ransomware, itu tips nya udah dilaksanakan ama tim internalnya belum, tuh? 🤔",0
2023-05-17 15:16:03+00:00,@bankbsi_id Tips biar data kita ga tersebar di dark web krn bank TOLOL dong min😅,0
2023-05-17 15:11:02+00:00,@bankbsi_id Tutor gakena Ransomware 😝,0
2023-05-17 15:06:46+00:00,@hartamegawati @bankbsi_id @_BankBSI Saldo blokiran mah di setiap bank juga ada... Jgn panik...,1
2023-05-17 15:03:04+00:00,"@bankbsi_id min, fokusin dlu deh sama problemnya. udh berapa hari gak bisa transaksi hadehh ..",0
2023-05-17 15:02:38+00:00,@13th_palace @secgron @bankbsi_id Empat juta dua ratus enam puluh miliyar. Klo dibeliin seblak bisa mencret se-Indonesia kali ya,0
2023-05-17 15:00:37+00:00,"@bankbsi_id Beli pulsa via  bsi mobile, pulsa tidak terkirim saldo berkurang, cek saldo ternyata saldo diblokir sejumlah pembelian pulsa. Mau melaporkan masalah vis bsi mobile sulitnya minta ampun, berkali kali jawabannya permintaan tidak dapat dapat diproses silahkan dicoba lagi",0
2023-05-17 14:29:58+00:00,"Belajar dari BI dan BSI, Bank Lain Harus Hati-hati Menjadi Target Ransomware https://t.co/6jiv8gY354",1
2023-05-17 14:24:58+00:00,@bankbsi_id Bank @bankbsi_id  apa sudah bisa dipakai transaksi?? Kok malah sok sok an ucapkan apresiasi. DM gak direspon,0
2023-05-17 14:16:58+00:00,"@eLganufa stresss minggu2 ini...gegara bank ini error, anak di pondok (Serang Banten) hanya pegang ATM BSI dan emang di kompleks ponpes hanya ada ATM BSI",0
2023-05-17 14:15:18+00:00,"@Aceh Syariah cuma label, yg bner syariah cuma bank di jepang, pinjam 20 juta bayar 18 juta, karena pemerintah mensubsidi kpda bank,nyoe BSI Pinjam 20 juta bayar 20 juta itu baru syariah, nyatanya sama aja dg konven,",0
2023-05-17 13:57:11+00:00,"@avatarcokelat gatau sih, keknya aku pernah dikasih tau, tapi gatau di bsi atau bank lain. intinya biar ga kosong aja reknya, tapi kalo mau tutup akun dibalikin kok.",1
2023-05-17 13:55:54+00:00,Ksian bank bsi hrs brjuang sendirian lawan hacker n pmerintah nggak mo bantu... Anehhhh... Knp yaaa ..🤦🤦🤦,1
2023-05-17 13:45:48+00:00,"@berlianidris @Paltiwest @bankbsi_id Bagi yang masih ada dana di BSI, tutup rekening, ambil dana secara manual di bank. Lengkapi semua syarat pengambilan tabungan. 
Mengerikan",0
2023-05-17 13:41:20+00:00,"@bankbsi_id Iyaa, kesel banget. Udah kirim pesan, ga ditanggapi",0
2023-05-17 13:39:19+00:00,"@Rajaa722 Aku udah coba tf kakk, tapi ke bank lain. Katanya bsi blum pulih sepenuhnyaa huhuu takut saldonya ilang :((",0
2023-05-17 13:35:38+00:00,"@eDzulfikar Udah laaah realistis aja, semua yang di tweet @PartaiSocmed itu 99% nyata kok, situ nggak percaya? Situ musti coba hidup di kalangan menengah ke bawah terus cobain pinjaman BSI baru deh paham gimana bank itu jualan riba di selimutin agama yang katanya syar'i",0
2023-05-17 13:24:52+00:00,@zzakiafd @bankbsi_id Tutup ajaa,0
2023-05-17 13:17:45+00:00,Bsi masih ga bisa tf dan menerima tf an dr e wallet sih ya 🫠 apa ganti bank aja ya,0
2023-05-17 12:55:22+00:00,@Hazanika2 @0xdermawan @bankbsi_id Dan it bsi pasti lagi terus² mencari celah sistem keamanannya jadi ya btuh waktu untuk melakukan perbaikan system,1
2023-05-17 12:54:50+00:00,"@jogmfs BSI (kita akan ruqiyah data senter bank BSI)
Kominfo (internet cepat buat apa)

Emang gini dah klo instansi atau lembaga penting di pegang boomer yg gak melek teknologi, antara gak melek sama pelit buat invest ke teknologi. Bank dengan sistem terbaik gua akui masih BCA",0
2023-05-17 12:53:52+00:00,"@Hazanika2 @0xdermawan @bankbsi_id Gini ya bang kenapa bisa lama karna server bsi itu gak cuman 1 kabupaten aja itu 1 Indonesia jadi wajar mtnya lama karna dari segala backup pembersihan data, perkuat dari sistem keamananya Butuh waktu lama",0
2023-05-17 12:31:22+00:00,"@0xdermawan @Hazanika2 @Reinaldoadr @bankbsi_id Yep, karena harus mempertahankan integritas. Kalau jujur, para nasabah pasti bakal mikir ini keamanan banknya ga beres, trus tarik uang dalam gelombang besar.",1
2023-05-17 12:30:23+00:00,"@bankbsi_id Min ada yg ngaku cs bsi, saya hampir ketipu",0
2023-05-17 12:26:25+00:00,@secgron @bankbsi_id @txtdarimanguu  masih mikir data karyawan? hahaha,0
2023-05-17 12:25:45+00:00,Berilah kesempatan  kepada Manajemen Bank  BSI di Aceh memperbaiki dari berbagai kekurangan atas kesalahan sistem belum lama ini.,1
2023-05-17 12:18:27+00:00,@bankbsi_id Alhamdulillah... Recovery juga akhirnya. Semoga ada pembelajaran dari kisah ini. Salah satunya punya rekening cabang lain sebagai penyelamat in case 😘,1
2023-05-17 12:01:55+00:00,"@deadvoid @SoundOfYogi Back up ada lah beda server tp AS400 compact bgt &amp; secure sistemnya. Tp gmn ga compact lah layar cmn item ijo😂😂…Makanya bank sm retail byk yg pake buat core system, UI biasanya pake system lain. Kl BSI pake AS400, gw ga yakin data corenya compromised or data bocornya dr core.",0
2023-05-17 11:37:14+00:00,"@bankbsi_id Sudah percaya? Pernah percaya kali maksudnya.. bukan karena serangan ransomware loh min, semua orang bisa sial kena serangan. Tapi cara BSI menangani masalah dan kurang transparant yang bikin nasabah lari",0
2023-05-17 11:24:46+00:00,@bankbsi_id Ganti bank aja lah gini capek kali poon,0
2023-05-17 11:24:17+00:00,@bankbsi_id @bankbsi_id bank syariah tapi buzzernya pake avatar korea 😂 apa jangan2 mereka admin yg pake second account? Mending bales dm para nasabah yg udah capek nunggu kepastian uangnya kemana.,0
2023-05-17 10:58:54+00:00,"@bankbsi_id BANK MU ITU LHO URUSIN DULUUU, DENGERIN KELUHAN NASABAH!!",0
2023-05-17 10:53:27+00:00,"Baca komenan di twitan orang tentang saldo di @bankbsi_id jadi ngeri ngeri sedeep.. Pindahin dulu sementara kalii yaa, kutakut duit ku yang tak seberapa itu lenyap.. Hehehe namanya juga jaga jaga, yaa gak??",1
2023-05-17 10:46:39+00:00,"@bankbsi_id Gausa bagi"" hadiah dlu deh, benerin itu mbanking yg bermasalah. Kesian duit orng nyangkut",0
2023-05-17 10:15:36+00:00,"Bank Syariah Indonesia (BSI) mengalami serangan siber. Persoalan semacam ini bukan yang pertama dan seakan menegaskan keamanan siber kita memiliki celah. Kompasianer, Bagaimana caramu menghindari jebakan phising dan percobaan penipuan lainnya? #Headline 
https://t.co/xZSdm3w8Gj",1
2023-05-17 10:09:17+00:00,"@bankbsi_id Bukannya berbenah, malah pencitraan. Kelakuan boomer emang",0
2023-05-17 10:09:16+00:00,"Terima kasih untuk nasabah @bankbsi_id tlh menjadi martir. 

Para hacker jd mikir buat ngehack di sini.

Ga ada duitnya - ga dipeduliin.",0
